wavenumber_ratio_r,true_u,true_epsilon,distinct_root_count
1.005,0.01,0.01,1
1.005,0.01,0.02,1
1.005,0.01,0.05,1
1.005,0.01,0.1,1
1.005,0.01,0.5,1
1.005,0.01,0.9,1
1.005,0.01,0.95,1
1.005,0.01,0.98,1
1.005,0.01,0.99,1
1.005,0.02,0.01,1
1.005,0.02,0.02,1
1.005,0.02,0.05,1
1.005,0.02,0.1,1
1.005,0.02,0.5,1
1.005,0.02,0.9,1
1.005,0.02,0.95,1
1.005,0.02,0.98,1
1.005,0.02,0.99,1
1.005,0.05,0.01,1
1.005,0.05,0.02,1
1.005,0.05,0.05,1
1.005,0.05,0.1,1
1.005,0.05,0.5,1
1.005,0.05,0.9,1
1.005,0.05,0.95,1
1.005,0.05,0.98,1
1.005,0.05,0.99,1
1.005,0.1,0.01,1
1.005,0.1,0.02,1
1.005,0.1,0.05,1
1.005,0.1,0.1,1
1.005,0.1,0.5,1
1.005,0.1,0.9,1
1.005,0.1,0.95,1
1.005,0.1,0.98,1
1.005,0.1,0.99,1
1.005,0.5,0.01,1
1.005,0.5,0.02,1
1.005,0.5,0.05,1
1.005,0.5,0.1,1
1.005,0.5,0.5,1
1.005,0.5,0.9,1
1.005,0.5,0.95,1
1.005,0.5,0.98,1
1.005,0.5,0.99,1
1.005,0.9,0.01,1
1.005,0.9,0.02,1
1.005,0.9,0.05,1
1.005,0.9,0.1,1
1.005,0.9,0.5,1
1.005,0.9,0.9,1
1.005,0.9,0.95,1
1.005,0.9,0.98,1
1.005,0.9,0.99,1
1.005,0.95,0.01,1
1.005,0.95,0.02,1
1.005,0.95,0.05,1
1.005,0.95,0.1,1
1.005,0.95,0.5,1
1.005,0.95,0.9,1
1.005,0.95,0.95,1
1.005,0.95,0.98,1
1.005,0.95,0.99,1
1.005,0.98,0.01,1
1.005,0.98,0.02,1
1.005,0.98,0.05,1
1.005,0.98,0.1,1
1.005,0.98,0.5,1
1.005,0.98,0.9,1
1.005,0.98,0.95,1
1.005,0.98,0.98,1
1.005,0.98,0.99,1
1.005,0.99,0.01,1
1.005,0.99,0.02,1
1.005,0.99,0.05,1
1.005,0.99,0.1,1
1.005,0.99,0.5,1
1.005,0.99,0.9,1
1.005,0.99,0.95,1
1.005,0.99,0.98,1
1.005,0.99,0.99,1
1.01,0.01,0.01,1
1.01,0.01,0.02,1
1.01,0.01,0.05,1
1.01,0.01,0.1,1
1.01,0.01,0.5,1
1.01,0.01,0.9,1
1.01,0.01,0.95,1
1.01,0.01,0.98,1
1.01,0.01,0.99,1
1.01,0.02,0.01,1
1.01,0.02,0.02,1
1.01,0.02,0.05,1
1.01,0.02,0.1,1
1.01,0.02,0.5,1
1.01,0.02,0.9,1
1.01,0.02,0.95,1
1.01,0.02,0.98,1
1.01,0.02,0.99,1
1.01,0.05,0.01,1
1.01,0.05,0.02,1
1.01,0.05,0.05,1
1.01,0.05,0.1,1
1.01,0.05,0.5,1
1.01,0.05,0.9,1
1.01,0.05,0.95,1
1.01,0.05,0.98,1
1.01,0.05,0.99,1
1.01,0.1,0.01,1
1.01,0.1,0.02,1
1.01,0.1,0.05,1
1.01,0.1,0.1,1
1.01,0.1,0.5,1
1.01,0.1,0.9,1
1.01,0.1,0.95,1
1.01,0.1,0.98,1
1.01,0.1,0.99,1
1.01,0.5,0.01,1
1.01,0.5,0.02,1
1.01,0.5,0.05,1
1.01,0.5,0.1,1
1.01,0.5,0.5,1
1.01,0.5,0.9,1
1.01,0.5,0.95,1
1.01,0.5,0.98,1
1.01,0.5,0.99,1
1.01,0.9,0.01,1
1.01,0.9,0.02,1
1.01,0.9,0.05,1
1.01,0.9,0.1,1
1.01,0.9,0.5,1
1.01,0.9,0.9,1
1.01,0.9,0.95,1
1.01,0.9,0.98,1
1.01,0.9,0.99,1
1.01,0.95,0.01,1
1.01,0.95,0.02,1
1.01,0.95,0.05,1
1.01,0.95,0.1,1
1.01,0.95,0.5,1
1.01,0.95,0.9,1
1.01,0.95,0.95,1
1.01,0.95,0.98,1
1.01,0.95,0.99,1
1.01,0.98,0.01,1
1.01,0.98,0.02,1
1.01,0.98,0.05,1
1.01,0.98,0.1,1
1.01,0.98,0.5,1
1.01,0.98,0.9,1
1.01,0.98,0.95,1
1.01,0.98,0.98,1
1.01,0.98,0.99,1
1.01,0.99,0.01,1
1.01,0.99,0.02,1
1.01,0.99,0.05,1
1.01,0.99,0.1,1
1.01,0.99,0.5,1
1.01,0.99,0.9,1
1.01,0.99,0.95,1
1.01,0.99,0.98,1
1.01,0.99,0.99,1
1.02,0.01,0.01,1
1.02,0.01,0.02,1
1.02,0.01,0.05,1
1.02,0.01,0.1,1
1.02,0.01,0.5,1
1.02,0.01,0.9,1
1.02,0.01,0.95,1
1.02,0.01,0.98,1
1.02,0.01,0.99,1
1.02,0.02,0.01,1
1.02,0.02,0.02,1
1.02,0.02,0.05,1
1.02,0.02,0.1,1
1.02,0.02,0.5,1
1.02,0.02,0.9,1
1.02,0.02,0.95,1
1.02,0.02,0.98,1
1.02,0.02,0.99,1
1.02,0.05,0.01,1
1.02,0.05,0.02,1
1.02,0.05,0.05,1
1.02,0.05,0.1,1
1.02,0.05,0.5,1
1.02,0.05,0.9,1
1.02,0.05,0.95,1
1.02,0.05,0.98,1
1.02,0.05,0.99,1
1.02,0.1,0.01,1
1.02,0.1,0.02,1
1.02,0.1,0.05,1
1.02,0.1,0.1,1
1.02,0.1,0.5,1
1.02,0.1,0.9,1
1.02,0.1,0.95,1
1.02,0.1,0.98,1
1.02,0.1,0.99,1
1.02,0.5,0.01,1
1.02,0.5,0.02,1
1.02,0.5,0.05,1
1.02,0.5,0.1,1
1.02,0.5,0.5,1
1.02,0.5,0.9,1
1.02,0.5,0.95,1
1.02,0.5,0.98,1
1.02,0.5,0.99,1
1.02,0.9,0.01,1
1.02,0.9,0.02,1
1.02,0.9,0.05,1
1.02,0.9,0.1,1
