wavenumber_ratio_r,true_u,true_epsilon,distinct_root_count,best_residual,roots_if_multiple
1.02,0.05,0.05,1,1.3361703201650493e-14,
1.02,0.05,0.16249999999999998,1,7.014382856183751e-16,
1.02,0.05,0.27499999999999997,1,7.022033303473203e-16,
1.02,0.05,0.38749999999999996,1,4.173413205203602e-15,
1.02,0.05,0.49999999999999994,1,9.570316446842042e-16,
1.02,0.05,0.6125,1,1.123228538547227e-15,
1.02,0.05,0.725,1,2.677979366039196e-16,
1.02,0.05,0.8374999999999999,1,7.809548133344095e-15,
1.02,0.05,0.95,1,1.5917164069640268e-14,
1.02,0.16249999999999998,0.05,1,1.4531979117126673e-15,
1.02,0.16249999999999998,0.16249999999999998,1,4.431671174534773e-16,
1.02,0.16249999999999998,0.27499999999999997,1,1.2945373939476923e-16,
1.02,0.16249999999999998,0.38749999999999996,1,4.260331290979596e-16,
1.02,0.16249999999999998,0.49999999999999994,1,2.1250362580715887e-17,
1.02,0.16249999999999998,0.6125,1,3.4377436874779135e-16,
1.02,0.16249999999999998,0.725,1,2.755704101549208e-16,
1.02,0.16249999999999998,0.8374999999999999,1,6.820646154834432e-16,
1.02,0.16249999999999998,0.95,1,1.2259891235823408e-15,
1.02,0.27499999999999997,0.05,1,1.7943545954635098e-17,
1.02,0.27499999999999997,0.16249999999999998,1,6.653128957675433e-16,
1.02,0.27499999999999997,0.27499999999999997,1,7.589415207398531e-18,
1.02,0.27499999999999997,0.38749999999999996,1,2.904224494331965e-16,
1.02,0.27499999999999997,0.49999999999999994,1,2.3369564740983007e-16,
1.02,0.27499999999999997,0.6125,1,1.9949319973733282e-16,
1.02,0.27499999999999997,0.725,1,6.706626105667425e-16,
1.02,0.27499999999999997,0.8374999999999999,1,3.0109479237680877e-16,
1.02,0.27499999999999997,0.95,1,5.898981716722663e-16,
1.02,0.38749999999999996,0.05,1,2.2805429852474456e-16,
1.02,0.38749999999999996,0.16249999999999998,1,7.37257477290143e-18,
1.02,0.38749999999999996,0.27499999999999997,1,3.9898639947466563e-17,
1.02,0.38749999999999996,0.38749999999999996,1,5.898059818321144e-17,
1.02,0.38749999999999996,0.49999999999999994,1,2.280683117536189e-16,
1.02,0.38749999999999996,0.6125,1,4.4159020766087724e-16,
1.02,0.38749999999999996,0.725,1,1.682681771697503e-16,
1.02,0.38749999999999996,0.8374999999999999,1,6.635719784602754e-16,
1.02,0.38749999999999996,0.95,1,1.1182853716212974e-15,
1.02,0.49999999999999994,0.05,1,3.0791341698588326e-17,
1.02,0.49999999999999994,0.16249999999999998,1,2.1962682096741335e-16,
1.02,0.49999999999999994,0.27499999999999997,1,2.185768789221321e-16,
1.02,0.49999999999999994,0.38749999999999996,1,2.0383000842727483e-17,
1.02,0.49999999999999994,0.49999999999999994,1,2.420918330306375e-16,
1.02,0.49999999999999994,0.6125,1,2.2719580052262414e-16,
1.02,0.49999999999999994,0.725,1,2.206442790453983e-16,
1.02,0.49999999999999994,0.8374999999999999,1,2.688821387764051e-16,
1.02,0.49999999999999994,0.95,1,2.221546919182835e-16,
1.02,0.6125,0.05,1,8.348356728138384e-18,
1.02,0.6125,0.16249999999999998,1,1.8648277366750676e-17,
1.02,0.6125,0.27499999999999997,1,2.1982615478435572e-16,
1.02,0.6125,0.38749999999999996,1,4.85722573273506e-17,
1.02,0.6125,0.49999999999999994,1,5.204170427930421e-18,
1.02,0.6125,0.6125,1,9.194034422677078e-17,
1.02,0.6125,0.725,1,3.3850229525724967e-16,
1.02,0.6125,0.8374999999999999,1,1.3704315460216776e-16,
1.02,0.6125,0.95,1,2.5945571893371344e-16,
1.02,0.725,0.05,1,2.927345865710862e-18,
1.02,0.725,0.16249999999999998,1,2.1514942440898256e-16,
1.02,0.725,0.27499999999999997,1,2.5153490401663703e-17,
1.02,0.725,0.38749999999999996,1,2.173602285337623e-16,
1.02,0.725,0.49999999999999994,1,1.0408340855860843e-17,
1.02,0.725,0.6125,1,5.724587470723463e-17,
1.02,0.725,0.725,1,2.3193453981493567e-16,
1.02,0.725,0.8374999999999999,1,1.5785983631388945e-16,
1.02,0.725,0.95,1,2.0469737016526324e-16,
1.02,0.8374999999999999,0.05,1,1.235990476633475e-17,
1.02,0.8374999999999999,0.16249999999999998,1,8.326672684688674e-17,
1.02,0.8374999999999999,0.27499999999999997,1,4.62374589363576e-16,
1.02,0.8374999999999999,0.38749999999999996,1,2.1457344368072988e-16,
1.02,0.8374999999999999,0.49999999999999994,1,2.1595042959904955e-16,
1.02,0.8374999999999999,0.6125,1,2.1457344368072988e-16,
1.02,0.8374999999999999,0.725,1,2.504979141641036e-16,
1.02,0.8374999999999999,0.8374999999999999,1,5.503203464845661e-16,
1.02,0.8374999999999999,0.95,1,2.1544120232613906e-16,
1.02,0.95,0.05,1,1.942890293094024e-16,
1.02,0.95,0.16249999999999998,1,7.641058170850049e-16,
1.02,0.95,0.27499999999999997,1,2.525378477556591e-16,
1.02,0.95,0.38749999999999996,1,1.2663481374630692e-16,
1.02,0.95,0.49999999999999994,1,2.0407899217551515e-16,
1.02,0.95,0.6125,1,5.134898698599272e-16,
1.02,0.95,0.725,1,1.0681615267849746e-15,
1.02,0.95,0.8374999999999999,1,9.603790139143229e-16,
1.02,0.95,0.95,1,6.980747984124483e-16,
1.05,0.05,0.05,1,2.8916379265979716e-15,
1.05,0.05,0.16249999999999998,1,2.275776839877812e-16,
1.05,0.05,0.27499999999999997,1,1.5512879294610895e-15,
1.05,0.05,0.38749999999999996,1,2.666643678126178e-16,
1.05,0.05,0.49999999999999994,1,1.554204854214363e-15,
1.05,0.05,0.6125,1,4.664344098450257e-16,
1.05,0.05,0.725,1,2.224049326024005e-15,
1.05,0.05,0.8374999999999999,1,1.1114564876135466e-15,
1.05,0.05,0.95,1,6.369063464833736e-15,
1.05,0.16249999999999998,0.05,1,2.6649576921200035e-16,
1.05,0.16249999999999998,0.16249999999999998,1,4.510155935554046e-16,
1.05,0.16249999999999998,0.27499999999999997,1,4.4154867917165265e-16,
1.05,0.16249999999999998,0.38749999999999996,1,2.282496651223037e-16,
1.05,0.16249999999999998,0.49999999999999994,1,4.730875896146611e-16,
1.05,0.16249999999999998,0.6125,1,4.7704895589362195e-17,
1.05,0.16249999999999998,0.725,1,3.5041414214731503e-16,
1.05,0.16249999999999998,0.8374999999999999,1,2.973469872404669e-16,
1.05,0.16249999999999998,0.95,1,2.1163626406917047e-16,
1.05,0.27499999999999997,0.05,1,4.429857564351022e-16,
1.05,0.27499999999999997,0.16249999999999998,1,1.1188966420050406e-16,
1.05,0.27499999999999997,0.27499999999999997,1,1.209969624493823e-16,
1.05,0.27499999999999997,0.38749999999999996,1,7.45931094670027e-17,
1.05,0.27499999999999997,0.49999999999999994,1,6.071532165918825e-18,
1.05,0.27499999999999997,0.6125,1,3.642919299551295e-17,
1.05,0.27499999999999997,0.725,1,3.4227285518783086e-16,
1.05,0.27499999999999997,0.8374999999999999,1,2.213472487795431e-16,
1.05,0.27499999999999997,0.95,1,3.3787747803814714e-16,
1.05,0.38749999999999996,0.05,1,2.1857526553279057e-16,
1.05,0.38749999999999996,0.16249999999999998,1,9.410874857174178e-17,
1.05,0.38749999999999996,0.27499999999999997,1,1.6479873021779667e-17,
1.05,0.38749999999999996,0.38749999999999996,1,1.1275702593849246e-17,
1.05,0.38749999999999996,0.49999999999999994,1,1.0755285551056204e-16,
1.05,0.38749999999999996,0.6125,1,7.979727989493313e-17,
1.05,0.38749999999999996,0.725,1,1.1102230246251565e-16,
1.05,0.38749999999999996,0.8374999999999999,1,3.9259977185645556e-16,
1.05,0.38749999999999996,0.95,1,5.204170427930421e-17,
1.05,0.49999999999999994,0.05,1,3.3393426912553537e-17,
1.05,0.49999999999999994,0.16249999999999998,1,5.117434254131581e-17,
1.05,0.49999999999999994,0.27499999999999997,1,3.8163916471489756e-17,
1.05,0.49999999999999994,0.38749999999999996,1,1.3877787807814457e-17,
1.05,0.49999999999999994,0.49999999999999994,1,2.740863092043355e-16,
1.05,0.49999999999999994,0.6125,1,1.43982048506075e-16,
1.05,0.49999999999999994,0.725,1,3.791710304710885e-16,
1.05,0.49999999999999994,0.8374999999999999,1,2.404954960958296e-16,
1.05,0.49999999999999994,0.95,1,4.129953640173151e-16,
1.05,0.6125,0.05,1,2.1532691879168277e-16,
1.05,0.6125,0.16249999999999998,1,0.0,
1.05,0.6125,0.27499999999999997,1,9.540979117872439e-18,
1.05,0.6125,0.38749999999999996,1,0.0,
1.05,0.6125,0.49999999999999994,1,1.6306400674181987e-16,
1.05,0.6125,0.6125,1,4.5102810375396984e-17,
1.05,0.6125,0.725,1,2.777508439858666e-16,
1.05,0.6125,0.8374999999999999,1,1.2836953722228372e-16,
1.05,0.6125,0.95,1,6.245004513516506e-17,
1.05,0.725,0.05,1,6.288372600415926e-18,
1.05,0.725,0.16249999999999998,1,2.0816681711721685e-17,
1.05,0.725,0.27499999999999997,1,1.734723475976807e-17,
1.05,0.725,0.38749999999999996,1,8.500145032286355e-17,
1.05,0.725,0.49999999999999994,1,2.3926610206402113e-16,
1.05,0.725,0.6125,1,5.204170427930421e-17,
1.05,0.725,0.725,1,2.1000903724951387e-16,
1.05,0.725,0.8374999999999999,1,5.551115123125783e-17,
1.05,0.725,0.95,1,5.204170427930421e-16,
1.05,0.8374999999999999,0.05,1,1.9498669986643655e-16,
1.05,0.8374999999999999,0.16249999999999998,1,4.029499766601072e-16,
1.05,0.8374999999999999,0.27499999999999997,1,3.8163916471489756e-17,
1.05,0.8374999999999999,0.38749999999999996,1,4.0227635224698146e-16,
1.05,0.8374999999999999,0.49999999999999994,1,6.429719275558402e-16,
1.05,0.8374999999999999,0.6125,1,1.1102230246251565e-16,
1.05,0.8374999999999999,0.725,1,2.220446049250313e-16,
1.05,0.8374999999999999,0.8374999999999999,1,1.986996825864056e-16,
1.05,0.8374999999999999,0.95,1,7.4064363658246225e-16,
1.05,0.95,0.05,1,7.771833428197408e-16,
1.05,0.95,0.16249999999999998,1,2.787728152484798e-16,
1.05,0.95,0.27499999999999997,1,2.8177377798042847e-16,
1.05,0.95,0.38749999999999996,1,3.157196726277789e-16,
1.05,0.95,0.49999999999999994,1,8.38314879211208e-16,
1.05,0.95,0.6125,1,4.380305591047026e-16,
1.05,0.95,0.725,1,4.467376080957673e-16,
1.05,0.95,0.8374999999999999,1,2.1510571102112408e-16,
1.05,0.95,0.95,1,6.38378239159465e-16,
1.1,0.05,0.05,1,1.9915308578825243e-15,
1.1,0.05,0.16249999999999998,1,4.196781194879311e-15,
1.1,0.05,0.27499999999999997,1,2.793599171799675e-16,
1.1,0.05,0.38749999999999996,1,6.648487556479283e-16,
1.1,0.05,0.49999999999999994,1,4.5593149444155174e-15,
1.1,0.05,0.6125,1,4.432362459133347e-15,
1.1,0.05,0.725,1,4.4532124719727045e-15,
1.1,0.05,0.8374999999999999,1,1.001567822411459e-15,
1.1,0.05,0.95,1,1.412064909445121e-15,
1.1,0.16249999999999998,0.05,1,4.3893324734542056e-16,
1.1,0.16249999999999998,0.16249999999999998,1,4.0332320816460765e-17,
1.1,0.16249999999999998,0.27499999999999997,1,2.526093342208829e-16,
1.1,0.16249999999999998,0.38749999999999996,1,6.611117424610733e-16,
1.1,0.16249999999999998,0.49999999999999994,1,2.0296264668928643e-16,
1.1,0.16249999999999998,0.6125,1,7.45931094670027e-17,
1.1,0.16249999999999998,0.725,1,4.447502505919114e-16,
1.1,0.16249999999999998,0.8374999999999999,1,2.8614000017386287e-16,
1.1,0.16249999999999998,0.95,1,2.5291292627693247e-16,
1.1,0.27499999999999997,0.05,1,2.1861000455089544e-16,
1.1,0.27499999999999997,0.16249999999999998,1,4.336808689942018e-17,
1.1,0.27499999999999997,0.27499999999999997,1,9.367506770274758e-17,
1.1,0.27499999999999997,0.38749999999999996,1,2.7417412923517107e-16,
1.1,0.27499999999999997,0.49999999999999994,1,6.591949208711867e-17,
1.1,0.27499999999999997,0.6125,1,0.0,
1.1,0.27499999999999997,0.725,1,3.670733901200031e-16,
1.1,0.27499999999999997,0.8374999999999999,1,2.2074654438639617e-16,
1.1,0.27499999999999997,0.95,1,3.559872787854429e-16,
1.1,0.38749999999999996,0.05,1,2.153573784974063e-16,
1.1,0.38749999999999996,0.16249999999999998,1,2.1544818617308082e-16,
1.1,0.38749999999999996,0.27499999999999997,1,2.249796576380341e-16,
1.1,0.38749999999999996,0.38749999999999996,1,2.1513368861258285e-16,
1.1,0.38749999999999996,0.49999999999999994,1,4.163336342344337e-17,
1.1,0.38749999999999996,0.6125,1,4.85722573273506e-17,
1.1,0.38749999999999996,0.725,1,4.85722573273506e-17,
1.1,0.38749999999999996,0.8374999999999999,1,2.2390704291028953e-16,
1.1,0.38749999999999996,0.95,1,2.5673907444456745e-16,
1.1,0.49999999999999994,0.05,1,4.7704895589362195e-18,
1.1,0.49999999999999994,0.16249999999999998,1,3.8163916471489756e-17,
1.1,0.49999999999999994,0.27499999999999997,1,4.5102810375396984e-17,
1.1,0.49999999999999994,0.38749999999999996,1,1.0408340855860843e-17,
1.1,0.49999999999999994,0.49999999999999994,1,1.0408340855860843e-17,
1.1,0.49999999999999994,0.6125,1,6.938893903907228e-17,
1.1,0.49999999999999994,0.725,1,4.0233619253771735e-16,
1.1,0.49999999999999994,0.8374999999999999,1,2.360244132317689e-16,
1.1,0.49999999999999994,0.95,1,1.3877787807814457e-17,
1.1,0.6125,0.05,1,2.0816681711721685e-16,
1.1,0.6125,0.16249999999999998,1,1.944128986425528e-16,
1.1,0.6125,0.27499999999999997,1,3.469446951953614e-18,
1.1,0.6125,0.38749999999999996,1,1.4224732503009818e-16,
1.1,0.6125,0.49999999999999994,1,1.3877787807814457e-17,
1.1,0.6125,0.6125,1,1.0408340855860843e-16,
1.1,0.6125,0.725,1,3.469446951953614e-17,
1.1,0.6125,0.8374999999999999,1,3.581437341294552e-16,
1.1,0.6125,0.95,1,2.5814177514652363e-16,
1.1,0.725,0.05,1,1.431146867680866e-17,
1.1,0.725,0.16249999999999998,1,0.0,
1.1,0.725,0.27499999999999997,1,1.734723475976807e-17,
1.1,0.725,0.38749999999999996,1,1.9432000404524038e-16,
1.1,0.725,0.49999999999999994,1,1.942890293094024e-16,
1.1,0.725,0.6125,1,4.163336342344337e-17,
1.1,0.725,0.725,1,1.3183898417423734e-16,
1.1,0.725,0.8374999999999999,1,4.257111788135694e-16,
1.1,0.725,0.95,1,4.46899245057492e-16,
1.1,0.8374999999999999,0.05,1,3.610124290127101e-16,
1.1,0.8374999999999999,0.16249999999999998,1,1.9448254047199828e-16,
1.1,0.8374999999999999,0.27499999999999997,1,1.0408340855860843e-17,
1.1,0.8374999999999999,0.38749999999999996,1,1.3877787807814457e-17,
1.1,0.8374999999999999,0.49999999999999994,1,7.632783294297951e-17,
1.1,0.8374999999999999,0.6125,1,1.944128986425528e-16,
1.1,0.8374999999999999,0.725,1,2.220446049250313e-16,
1.1,0.8374999999999999,0.8374999999999999,1,2.309724214262959e-16,
1.1,0.8374999999999999,0.95,1,0.0,
1.1,0.95,0.05,1,7.771638615002563e-16,
1.1,0.95,0.16249999999999998,1,6.938893903907228e-18,
1.1,0.95,0.27499999999999997,1,5.569407999111905e-16,
1.1,0.95,0.38749999999999996,1,2.423651445728339e-16,
1.1,0.95,0.49999999999999994,1,3.5333894300643197e-16,
1.1,0.95,0.6125,1,6.206335383118183e-16,
1.1,0.95,0.725,1,5.79553433516819e-16,
1.1,0.95,0.8374999999999999,1,4.081579843510303e-16,
1.1,0.95,0.95,1,4.793364605007606e-16,
1.2,0.05,0.05,1,6.610392026467362e-16,
1.2,0.05,0.16249999999999998,1,5.561544583225909e-16,
1.2,0.05,0.27499999999999997,1,1.9949319973733282e-17,
1.2,0.05,0.38749999999999996,1,1.7730675178663063e-15,
1.2,0.05,0.49999999999999994,1,8.978283361946894e-16,
1.2,0.05,0.6125,1,4.211826435278946e-15,
1.2,0.05,0.725,1,5.653497142586262e-16,
1.2,0.05,0.8374999999999999,1,3.793884660775162e-15,
1.2,0.05,0.95,1,2.338942529281246e-15,
1.2,0.16249999999999998,0.05,1,2.156559611854102e-16,
1.2,0.16249999999999998,0.16249999999999998,1,2.18315138982372e-16,
1.2,0.16249999999999998,0.27499999999999997,1,4.485392477983968e-16,
1.2,0.16249999999999998,0.38749999999999996,1,4.3371209289274946e-16,
1.2,0.16249999999999998,0.49999999999999994,1,4.4023713804734606e-16,
1.2,0.16249999999999998,0.6125,1,2.2079425200240588e-16,
1.2,0.16249999999999998,0.725,1,2.2055561072769885e-16,
1.2,0.16249999999999998,0.8374999999999999,1,3.454847266993073e-16,
1.2,0.16249999999999998,0.95,1,1.2642933181846446e-15,
1.2,0.27499999999999997,0.05,1,2.151214488640407e-16,
1.2,0.27499999999999997,0.16249999999999998,1,2.6020852139652106e-18,
1.2,0.27499999999999997,0.27499999999999997,1,1.0408340855860843e-17,
1.2,0.27499999999999997,0.38749999999999996,1,2.082824332422744e-16,
1.2,0.27499999999999997,0.49999999999999994,1,6.938893903907228e-18,
1.2,0.27499999999999997,0.6125,1,2.7755575615628914e-17,
1.2,0.27499999999999997,0.725,1,2.48374603233007e-16,
1.2,0.27499999999999997,0.8374999999999999,1,5.015991251741031e-16,
1.2,0.27499999999999997,0.95,1,6.478698685078905e-16,
1.2,0.38749999999999996,0.05,1,2.082684362675785e-16,
1.2,0.38749999999999996,0.16249999999999998,1,2.09578719802802e-16,
1.2,0.38749999999999996,0.27499999999999997,1,3.122502256758253e-17,
1.2,0.38749999999999996,0.38749999999999996,1,1.0408340855860843e-17,
1.2,0.38749999999999996,0.49999999999999994,1,2.0816681711721685e-16,
1.2,0.38749999999999996,0.6125,1,4.163336342344337e-17,
1.2,0.38749999999999996,0.725,1,1.1102230246251565e-16,
1.2,0.38749999999999996,0.8374999999999999,1,2.0816681711721685e-16,
1.2,0.38749999999999996,0.95,1,5.440840647496218e-16,
1.2,0.49999999999999994,0.05,1,5.637851296924623e-18,
1.2,0.49999999999999994,0.16249999999999998,1,4.163336342344337e-17,
1.2,0.49999999999999994,0.27499999999999997,1,1.0408340855860843e-17,
