d_km,epsilon,invariant_residual
2.0,0.01,0.7908916434902389
2.0,0.02,0.7904872276488881
2.0,0.03,0.7901042617681261
2.0,0.04,0.7897427764641832
2.0,0.05,0.7894028123120238
2.0,0.060000000000000005,0.7890844198915835
2.0,0.06999999999999999,0.7887876598601214
2.0,0.08,0.7885126030511301
2.0,0.09,0.7882593306003834
2.0,0.09999999999999999,0.7880279340998406
2.0,0.11,0.7878185157802905
2.0,0.12,0.7876311887237634
2.0,0.13,0.78746607710692
2.0,0.14,0.7873233164767934
2.0,0.15000000000000002,0.7872030540604662
2.0,0.16,0.7871054491104565
2.0,0.17,0.7870306732878218
2.0,0.18000000000000002,0.7869789110852237
2.0,0.19,0.7869503602924619
2.0,0.2,0.7869452325072747
2.0,0.21000000000000002,0.7869637536945149
2.0,0.22,0.7870061647971563
2.0,0.23,0.7870727224029742
2.0,0.24000000000000002,0.7871636994711492
2.0,0.25,0.7872793861235241
2.0,0.26,0.7874200905057545
2.0,0.27,0.7875861397241647
2.0,0.28,0.7877778808647661
2.0,0.29000000000000004,0.7879956821016088
2.0,0.3,0.7882399339024319
2.0,0.31,0.7885110503404765
2.0,0.32,0.7888094705223325
2.0,0.33,0.7891356601428088
2.0,0.34,0.7894901131791052
2.0,0.35000000000000003,0.7898733537379861
2.0,0.36000000000000004,0.7902859380712898
2.0,0.37,0.790728456776936
2.0,0.38,0.7912015372046964
2.0,0.39,0.7917058460883516
2.0,0.4,0.7922420924285708
2.0,0.41000000000000003,0.7928110306539382
2.0,0.42000000000000004,0.7934134640910747
2.0,0.43,0.7940502487788579
2.0,0.44,0.7947222976663935
2.0,0.45,0.7954305852397376
2.0,0.46,0.7961761526285601
2.0,0.47000000000000003,0.7969601132510704
2.0,0.48000000000000004,0.7977836590638264
2.0,0.49,0.7986480674926605
2.0,0.5,0.7995547091321962
2.0,0.51,0.8005050563145204
2.0,0.52,0.801500692662954
2.0,0.53,0.8025433237648972
2.0,0.54,0.8036347891190061
