epsilon,mode1_fraction_cutoff,mode2_fraction_cutoff,condition_number
0.1,0.25,0.85,9.2161371585206
0.1125,0.25,0.85,8.226834245774688
0.125,0.25,0.85,7.438931265652434
0.1375,0.25,0.85,6.7974554562034895
0.15000000000000002,0.25,0.85,6.265751949558093
0.1625,0.25,0.85,5.818437943027477
0.17500000000000002,0.25,0.85,5.437376495907964
0.1875,0.25,0.85,5.109260798775748
0.2,0.25,0.85,4.824104337788797
0.21250000000000002,0.25,0.85,4.574263948992611
0.225,0.25,0.85,4.35378852991304
0.23750000000000002,0.25,0.85,4.157973436291368
0.25,0.25,0.85,3.983048580404557
0.2625,0.25,0.85,3.8259556665529653
0.275,0.25,0.85,3.6841862074570577
0.2875,0.25,0.85,3.555661826712987
0.30000000000000004,0.25,0.85,3.4386445169984494
0.3125,0.25,0.85,3.3316684682269226
0.325,0.25,0.85,3.233487662743181
0.3375,0.25,0.85,3.1430351482445
0.35,0.25,0.85,3.059391073547369
0.36250000000000004,0.25,0.85,2.981757371078279
0.375,0.25,0.85,2.909437535704947
0.38750000000000007,0.25,0.85,2.8418203505756083
0.4,0.25,0.85,2.7783666956406243
0.4125,0.25,0.85,2.718598786397665
0.42500000000000004,0.25,0.85,2.662091341511283
0.4375,0.25,0.85,2.608464295021593
0.45000000000000007,0.25,0.85,2.5573767537279184
0.4625,0.25,0.85,2.5085219642642373
0.475,0.25,0.85,2.461623106643424
0.48750000000000004,0.25,0.85,2.4164297684337015
0.5,0.25,0.85,2.372714983106741
0.5125000000000001,0.25,0.85,2.3302727415771147
0.525,0.25,0.85,2.28891590278459
0.5375,0.25,0.85,2.248474447285244
0.55,0.25,0.85,2.2087940272477455
0.5625,0.25,0.85,2.1697347805482226
0.5750000000000001,0.25,0.85,2.1311703834033717
0.5875,0.25,0.85,2.0929873267234624
0.6,0.25,0.85,2.055084409840355
0.6125,0.25,0.85,2.0173724537129205
0.625,0.25,0.85,1.9797742485527192
0.6375,0.25,0.85,1.9422247608787149
0.65,0.25,0.85,1.9046716453078536
0.6625,0.25,0.85,1.8670761250928756
0.675,0.25,0.85,1.829414338991414
0.6875,0.25,0.85,1.791679292583825
0.7000000000000001,0.25,0.85,1.7538836156346749
0.7125,0.25,0.85,1.716063413745452
0.725,0.25,0.85,1.6782836306485618
0.7375,0.25,0.85,1.6406455212246034
0.75,0.25,0.85,1.6032970978861623
0.7625000000000001,0.25,0.85,1.566447768876013
0.775,0.25,0.85,1.530388845926378
0.7875,0.25,0.85,1.4955220744189284
0.8,0.25,0.85,1.4623985562862107
0.8125,0.25,0.85,1.4317696057198965
0.8250000000000001,0.25,0.85,1.4046474429272753
0.8375,0.25,0.85,1.3823641721313424
0.85,0.25,0.85,1.3665997565312098
0.8625,0.25,0.85,1.3593298720429086
0.875,0.25,0.85,1.3626510656880977
0.8875000000000001,0.25,0.85,1.3785143088842107
0.9,0.25,0.85,1.408514884841572
0.1,0.45,0.65,47.847856459650416
0.1125,0.45,0.65,42.57857755041049
0.125,0.45,0.65,38.36828285519792
0.1375,0.45,0.65,34.928201571462495
0.15000000000000002,0.45,0.65,32.06582490605958
0.1625,0.45,0.65,29.64788247537692
0.17500000000000002,0.45,0.65,27.579185993210846
0.1875,0.45,0.65,25.789935547687495
0.2,0.45,0.65,24.22778600622801
0.21250000000000002,0.45,0.65,22.852713565382206
0.225,0.45,0.65,21.633593490130277
0.23750000000000002,0.45,0.65,20.545858570709225
0.25,0.45,0.65,19.569860089815503
0.2625,0.45,0.65,18.68969711023397
0.275,0.45,0.65,17.892365084944373
0.2875,0.45,0.65,17.167126585740675
0.30000000000000004,0.45,0.65,16.505039398860326
0.3125,0.45,0.65,15.898597920704434
0.325,0.45,0.65,15.341457310952004
0.3375,0.45,0.65,14.828219027563561
0.35,0.45,0.65,14.354262326871853
0.36250000000000004,0.45,0.65,13.915610680928726
0.375,0.45,0.65,13.508824965778413
0.38750000000000007,0.45,0.65,13.130917353575466
0.4,0.45,0.65,12.779281410460323
0.4125,0.45,0.65,12.451634974995715
0.42500000000000004,0.45,0.65,12.145973140972506
0.4375,0.45,0.65,11.860529401695091
0.45000000000000007,0.45,0.65,11.593743309889781
0.4625,0.45,0.65,11.344233474581403
0.475,0.45,0.65,11.110774892174723
0.48750000000000004,0.45,0.65,10.892279858680682
0.5,0.45,0.65,10.687781825208729
0.5125000000000001,0.45,0.65,10.496421745913882
0.525,0.45,0.65,10.317436453911995
0.5375,0.45,0.65,10.15014880894635
