model,case,gamma_pred_s-1,gamma_pred_over_observed,unstable
tanh_U_rho_w0.5_off-0.5a,1,0.016649287461271783,0.4060801819822386,True
tanh_U_rho_w0.5_off-0.5a,2,0.06971660011462555,2.582096300541687,True
tanh_U_rho_w0.5_off-0.5a,3,0.038626824507432864,0.8982982443589039,True
tanh_U_rho_w0.5_off-0.5a,4,0.014334373975985673,0.29253824440787085,True
tanh_U_rho_w0.5_off-0.5a,5,0.05464918381445698,0.9262573527874065,True
tanh_U_rho_w0.5_off+0.0a,1,0.02435059829051305,0.593917031475928,True
tanh_U_rho_w0.5_off+0.0a,2,0.0815358767474273,3.0198472869417516,True
tanh_U_rho_w0.5_off+0.0a,3,0.045282168208131274,1.0530736792588669,True
tanh_U_rho_w0.5_off+0.0a,4,0.03132929210408047,0.6393733082465402,True
tanh_U_rho_w0.5_off+0.0a,5,0.10263835534372592,1.7396331414190835,True
tanh_U_rho_w0.5_off+0.5a,1,0.026762334853197785,0.6527398744682387,True
tanh_U_rho_w0.5_off+0.5a,2,0.08847077297946737,3.2766952955358284,True
tanh_U_rho_w0.5_off+0.5a,3,0.048824933332932925,1.1354635658821612,True
tanh_U_rho_w0.5_off+0.5a,4,0.03362297296989539,0.6861831218345997,True
tanh_U_rho_w0.5_off+0.5a,5,0.10917593668047902,1.8504396047538818,True
tanh_U_rho_w1_off-0.5a,1,0.01652311028660988,0.4030026899173141,True
tanh_U_rho_w1_off-0.5a,2,0.0769048590118867,2.8483281115513597,True
tanh_U_rho_w1_off-0.5a,3,0.042473072926741434,0.9877458820172428,True
tanh_U_rho_w1_off-0.5a,4,0.023289889444413247,0.47530386621251525,True
tanh_U_rho_w1_off-0.5a,5,0.07799439678158578,1.321938928501454,True
tanh_U_rho_w1_off+0.0a,1,0.022158237059343614,0.540444806325454,True
tanh_U_rho_w1_off+0.0a,2,0.08410136109505462,3.1148652257427636,True
tanh_U_rho_w1_off+0.0a,3,0.04629859100721769,1.0767114187725046,True
tanh_U_rho_w1_off+0.0a,4,0.02837782371865633,0.5791392595644148,True
tanh_U_rho_w1_off+0.0a,5,0.09264422988222941,1.5702411844445663,True
tanh_U_rho_w1_off+0.5a,1,0.024228429074186368,0.5909372944923504,True
tanh_U_rho_w1_off+0.5a,2,0.08961774138278243,3.31917560676972,True
tanh_U_rho_w1_off+0.5a,3,0.049104429749503783,1.1419634825465996,True
tanh_U_rho_w1_off+0.5a,4,0.030483022055721117,0.622102490933084,True
tanh_U_rho_w1_off+0.5a,5,0.09886523649777691,1.6756819745385918,True
tanh_U_rho_w2_off-0.5a,1,0.01889052219343802,0.4607444437423907,True
tanh_U_rho_w2_off-0.5a,2,0.08476254702905284,3.1393535936686234,True
tanh_U_rho_w2_off-0.5a,3,0.046325137554203734,1.0773287803303195,True
tanh_U_rho_w2_off-0.5a,4,0.024778502729885934,0.5056837291813455,True
tanh_U_rho_w2_off-0.5a,5,0.08141269948729007,1.379876262496442,True
tanh_U_rho_w2_off+0.0a,1,0.02010980980289408,0.49048316592424585,True
tanh_U_rho_w2_off+0.0a,2,0.08800019271855322,3.2592663969834526,True
tanh_U_rho_w2_off+0.0a,3,0.047955543576927925,1.1152451994634403,True
tanh_U_rho_w2_off+0.0a,4,0.026055467226338926,0.5317442291089577,True
tanh_U_rho_w2_off+0.0a,5,0.08520779699804697,1.4441999491194402,True
tanh_U_rho_w2_off+0.5a,1,0.02072191145627775,0.5054124745433598,True
tanh_U_rho_w2_off+0.5a,2,0.09091500732282197,3.367222493437851,True
tanh_U_rho_w2_off+0.5a,3,0.04940461403074783,1.148944512342973,True
tanh_U_rho_w2_off+0.5a,4,0.026810584275128876,0.5471547811250791,True
tanh_U_rho_w2_off+0.5a,5,0.08753058732695947,1.4835692767281266,True
erf_U_rho,1,0.02010817515009326,0.490443296343738,True
erf_U_rho,2,0.08307033290422547,3.076678996452795,True
erf_U_rho,3,0.04565166907133627,1.0616667225892156,True
erf_U_rho,4,0.02528054306302639,0.5159294502658447,True
erf_U_rho,5,0.08074442574990179,1.3685495889813863,True
arctan_U_rho,1,0.03454401348364334,0.8425369142352034,True
arctan_U_rho,2,0.09205772584484326,3.4095454016608615,True
arctan_U_rho,3,0.05106754845048331,1.1876174058251934,True
arctan_U_rho,4,0.04526234585317132,0.9237213439422718,True
arctan_U_rho,5,0.15354300559424733,2.6024238236313106,True
